"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број класа/одељења","Број комбинованих класа/одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених - без замена"
"1.","180","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Музичка школа Јосиф Маринковић","Крунска 8","11000","muzicka@josifmarinkovic.edu.rs","(011)3236504","http://www.josifmarinkovic.edu.rs","7004303","100295768","1947-12-26","Средње музичке и балетске школе","Државно","233","0","524","333","0","0","0","57","51.600000","71","66.900000"
"2.","181","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Музичка школа Јосип Славенски","Радослава Грујића 2а","11000","muzskjosipslavenski@sbb.rs","(011)2455953","http://www.slavenski.edu.rs","7001908","100160200","1956-09-21","Средње музичке и балетске школе","Државно","78","78","785","503","0","0","0","98","77.338300","117","99.248300"
"3.","182","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Музичка школа Станковић","Кнеза Милоша 1а","11000","direktor@msstankovic.edu.rs","(011)3230226","http://msstankovic.edu.rs","7018851","100155281","1911-03-15","Средње музичке и балетске школе","Државно","83","0","915","569","0","0","0","110","96.988400","130","119.638400"
"4.","183","Београд","Град Београд","Београд - Гроцка","Гроцка","Основна музичка школа Невена Поповић","Булевар револуције 19","11306","omsgrocka@gmail.com","(011)8500149","http://omsgrocka.edu.rs","17057979","101848115","1994-11-10","Основне музичке и балетске школе","Државно","38","38","552","331","0","0","0","43","42.200000","60","60.400000"
"5.","184","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Музичка школа Владимир Ђорђевић","Ватрослава Јагића 5","11050","oms.vldj@mts.rs","(011)2452561","http://www.vladimirdjordjevic.edu.rs","7004842","100132724","1948-09-01","Основне музичке и балетске школе","Државно","41","41","563","371","0","0","0","44","39.600000","56","50.300000"
"6.","186","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Музичка школа Марко Тајчевић","Бранка Радичевића 27а","11550","ramla@veze.net","(011)8121249","http://www.muzickaskolalazarevac.edu.rs","17062069","101135924","1994-09-28","Средње музичке и балетске школе","Државно","52","52","445","268","0","0","0","65","50.850000","78","63.850000"
"7.","187","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Музичка школа Стеван Христић","Краља Петра Првог 175","11400","muzicka.skola.mladenovac@gmail.com","(011)8244191","http://musicmlad.com","17057952","101960769","1994-06-23","Основне музичке и балетске школе","Државно","16","16","258","162","0","0","0","17","16.000000","24","24.000000"
"8.","188","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Музичка школа Даворин Јенко","Мишка Крањца 7","11090","direktor@msdjenko.edu.rs","(011)3510036","http://www.msdjenko.edu.rs","7004052","101994037","1954-12-04","Средње музичке и балетске школе","Државно","77","77","843","527","0","0","0","102","82.752300","120","108.232800"
"9.","189","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Музичка школа Станислав Бинички","Сењачка 31","11000","skola@binicki.edu.rs","3692733","http://www.binicki.edu.rs","7001894","100349129","1948-06-20","Основне музичке и балетске школе","Државно","57","57","803","526","0","0","0","66","61.980000","79","73.980000"
"10.","190","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Музичка школа Др Војислав Вучковић","Кондина 6","11103","info@vuckovic.rs","(011)3241169","http://www.vuckovic.rs","7003196","100053014","1952-09-01","Средње музичке и балетске школе","Државно","49","49","416","255","0","0","0","71","63.434200","88","84.020800"
