"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"1.","1","Београд","Град Београд","Београд - Барајево","Вранић","Павле Поповић","Трг палих бораца 3","11427","ospavlepopovic@hotmail.rs","(011)8332022","http://www.ospavlepopovic.edu.rs","7001185","100141791","1962-12-18","Основна школа","Државно","26","0","0","518","248","7","8","1","45","37.727700","58","54.227700"
"2.","2","Београд","Град Београд","Београд - Барајево","Барајево","Кнез Сима Марковић","Светосавска 77","11460","osbarajevo@gmail.com","8300124","http://www.knezsimamarkovic.edu.rs","7001193","101412064","1969-09-01","Основна школа","Државно","71","0","0","1269","602","45","2","0","103","98.638700","142","140.288700"
"3.","3","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Бора Станковић","Паунова 19а","11010","skola@borastankovicos.edu.rs","(011)3983590","http://wwwosborastankovicvozdovac.edu.rs","7017235","101734519","1965-12-08","Основна школа","Државно","34","0","0","892","445","4","4","0","60","54.133300","86","80.133300"
"4.","4","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Змај Јова Јовановић","Мештровићева 19","11000","os.zjjovanovic@mts.rs","(011)2463227","http://www.zmajjova.edu.rs","7019912","101739170","1967-10-20","Основна школа","Државно","34","0","0","867","454","14","6","0","59","53.940000","82","77.440000"
"5.","5","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Ђура Даничић","Мештровићева 19a","11000","djura_danicic@yahoo.com","(011)2462284","http://www.osdjuradanicic.edu.rs","7017308","101951965","1971-04-23","Основна школа","Државно","30","0","0","777","373","22","2","1","50","45.789400","67","63.289400"
"6.","6","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Карађорђе","Јове Илића 2","11000","oskaradjordje@sbb.rs","(011)2467290","http://www.karadjordje.edu.rs","7017219","101739418","1905-11-26","Основна школа","Државно","34","0","0","930","460","2","1","0","62","53.538700","82","74.038700"
"7.","7","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Милан Ђ. Милићевић","Боривоја Стевановића 27а","11010","milandj.milicevic@gmail.com","(011)2889498","http://www.osmilandjmilicevic.edu.rs","17412604","100433082","2002-09-02","Основна школа","Државно","51","0","0","1479","714","7","0","0","85","81.003100","111","108.003100"
"8.","8","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Јанко Веселиновић","Умчарска 2","11000","osjanko@orion.rs","(011)2895812","http://www.osjankoveselinovic.edu.rs","7017227","100164299","1989-07-08","Основна школа","Државно","38","0","0","1008","503","10","2","0","60","58.144200","79","77.644200"
"9.","9","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Доситеј Обрадовић","Максима Горког 94","11050","direktor.dobradovic@mts.rs","(011)6446738","http://osdositejobradovic.rs","17416944","100382845","2002-06-20","Основна школа","Државно","21","0","0","506","231","5","8","0","38","33.277600","56","50.887600"
"10.","10","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Веселин Маслеша","Кумодрашка 72","11010","direktor@osveselinmaslesa.edu.rs","2471675","http://www.osveselinmaslesa.edu.rs","7017294","101732994","1963-09-19","Основна школа","Државно","39","0","0","1016","490","6","0","0","62","55.249600","80","73.389600"
"11.","11","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Филип Филиповић","Булевар ослобођења 317","11000","os.ffilipovic@mts.rs","(011)3098280","http://www.filipfilipovic.edu.rs","7017197","102174443","1959-09-10","Основна школа","Државно","30","0","0","820","390","12","7","1","51","45.405400","68","63.405400"
