"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"1.","165","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Миодраг Матић","Браће Јерковић 5","11010","osmiodragmatic@yahoo.com","(011)3096110","http://osmiodragmatic.edu.rs","7028156","100372976","1972-06-03","Специјалне школе","Државно","13","0","50","27","0","50","20","18.590000","33","31.590000"
"2.","166","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Школа за основно и средње образовање Вожд","Булевар ослобођења 219","11010","sosovozd@yahoo.com","(011)3097013","http://sosovozd.znanje.info","17091212","100021850","1995-09-01","Специјалне школе","Државно","16","0","103","43","44","4","24","20.616600","33","31.800000"
"3.","167","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Душан Дугалић","Ђердапска 19","11000","timozes@osdugalic.edu.rs","(011)2836769","http://www.osdugalic.edu.rs","7004338","101602245","1961-12-15","Специјалне школе","Државно","17","0","91","26","0","92","28","23.000000","41","39.000000"
"4.","168","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Бошко Буха","21. Дивизије 31","11120","bbuha@verat.net","2417174","http://www.boskobuha.edu.rs","7014686","101148925","1963-01-21","Специјалне школе","Државно","29","0","207","22","32","106","53","50.124800","71","68.124800"
"5.","170","Београд","Град Београд","Београд - Земун","Београд (Земун)","Радивој Поповић","Призренска 37","11080","rapozemun@gmail.com","(011)3076421","http://www.osradivojpopovic.edu.rs","7074263","100014088","1947-11-06","Специјалне школе","Државно","18","0","108","35","0","108","37","33.255400","74","72.755400"
"6.","171","Београд","Град Београд","Београд - Земун","Београд (Земун)","Школа за ученике оштећеног вида Вељко Рамадановић","Цара Душана 143","11080","veljkoramadanoviczemun@gmail.com","(011)2198611","http://www.skolaveljkoramadanovic.edu.rs","7026757","100014070","1960-01-15","Специјалне школе","Државно","26","0","141","56","57","84","44","40.400000","97","95.100000"
"7.","172","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Нови Београд","Народних хероја 12","11070","osnovibeograd@mts.rs","(011)3017491","http://www.osnovibeograd.rs","7029802","101969730","1970-02-17","Специјалне школе","Државно","19","0","90","25","0","90","41","36.150000","52","49.107000"
"8.","173","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Антон Скала","Петра Чајковског 2a","11040","os.antonskala@mts.rs","(011)2650589","http://www.antonskala.rs","7002106","100118084","1964-06-16","Специјалне школе","Државно","17","0","91","17","0","91","31","30.040000","44","43.040000"
"9.","174","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Школа за оштећене слухом-наглуве Стефан Дечански","Светозара Марковића 85","11000","stefan.decanski@sbb.rs","112687136","http://decanski.znanje.info","7002114","101288758","1966-01-31","Специјалне школе","Државно","34","0","239","87","0","239","70","68.800000","90","88.800000"
"10.","175","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Др Драган Херцог","Војводе Миленка 33","11000","drhercog.dir@mts.rs","(011)3065188","http://www.osdrdraganhercog.edu.rs","7002092","101885343","1969-09-01","Специјалне школе","Државно","69","69","192","75","142","50","78","73.542700","86","80.371400"
"11.","176","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Драган Ковачевић","Шафарикова 8","11000","skoladk@eunet.rs","(011)3223328","http://www.osdragankovacevic.edu.rs","7017758","100047028","1970-12-28","Специјалне школе","Државно","20","0","116","41","37","79","42","38.083300","60","56.583300"
"12.","177","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Милоје Павловић","Милосава Влајића 1","11030","osmilojepavlovic@gmail.com","(011)3552153","http://www.osmilojepavlovic.edu.rs","7014414","101833762","1971-12-27","Специјалне школе","Државно","21","0","130","45","0","130","38","38.000000","54","54.000000"
"13.","178","Београд","Град Београд","Београд - Чукарица","Умка","Школа за основно и средње образовање са домом Свети Сава","Милије Станојловића(Милице Николић) 30","11260","svetisavau@eunet.rs","8026856","http://www.sososvsava.edu.rs","7014406","100575564","1963-01-19","Специјалне школе","Државно","25","0","154","50","0","154","49","41.300000","97","93.600000"
"14.","313","Београд","Град Београд","Београд - Обреновац","Обреновац","Љубомир Аћимовић","Краља Милутина 3","11500","osljubomiracimovic@mts.rs","(011)8725449","http://osljubomiracimovic.rs","17241362","101214606","1999-09-16","Специјалне школе","Државно","12","0","56","26","0","56","21","17.940000","29","25.610000"
"15.","1062","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Школа за основно и средње образовање са домом Вук Караџић","Радоја Домановића 98","25000","vukskola.direktor.so@gmail.com","(025)459111","http://www.vuk-centar.edu.rs","8013144","100122835","1974-01-18","Специјалне школе","Државно","25","0","115","37","0","114","63","59.650000","82","78.650000"
"16.","1168","Зајечар","Борски управни округ","Бор","Бор","Школа за основно и средње образовање Видовдан","Моше Пијаде 31","19210","sosovidovdan@yahoo.com","(030)422490","http://vidovdanbor.net","7130228","100627066","1968-07-12","Специјалне школе","Државно","17","0","82","29","0","67","44","33.361900","55","43.644400"
"17.","1179","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Школа за основно и средње образовање Братство","Доситејева 11","21220","sosobratstvodirektor@yahoo.com","(021)6916363","http://www.facebook.com/BratstvoBecej","8069786","100737783","1967-06-30","Специјалне школе","Државно","18","0","100","46","0","100","41","37.463000","55","52.463000"
"18.","1184","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Школа за основно и средње образовање Мара Мандић","Цара Душана 34","26000","info@maramandic.edu.rs","13353284","http://www.maramandic.edu.rs","8006458","100522737","1966-05-27","Специјалне школе","Државно","32","0","214","85","0","136","73","74.015600","91","92.505600"
