"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"1.","1322","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Пољопривредна школа","Маршала Тита 167","24300","psdirektor@gmail.com","(024)711234","http://poljoskola.edu.rs","8207887","101447175","1961-11-28","Средње стручне школе","Државно","26","0","0","473","203","9","11","0","70","66.040000","104","102.680000"
"2.","1323","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Средња техничка школа Шинковић Јожеф","Tрг Зорана Ђинђића 10","24300","sinjo@stcable.net","(024)714434","http://www.sinjo.edu.rs","8207909","101449228","1888-09-01","Средње стручне школе","Државно","14","0","0","240","41","0","4","0","46","30.713600","58","43.933600"
"3.","1324","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Гимназија Светозар Марковић","Петефи Шандора 1","24100","sekretarijat@gimnazijasubotica.edu.rs","552820","http://www.gimnazijasubotica.edu.rs","8065535","100958994","1856-07-27","Гимназије","Државно","39","0","0","871","555","0","0","0","88","76.450000","109","98.470000"
"4.","1325","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Економска средња школа Боса Милићевић","Ђуре Ђаковића 21","24000","ess@eunet.rs","(024)559255","http://ekonomskasu.edu.rs","8009155","100838402","2002-02-15","Средње стручне школе","Државно","26","0","0","669","437","0","9","0","71","57.820000","85","73.510000"
"5.","1326","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Средња медицинска школа","Београдски пут 126","24100","medsu@medicinskasu.edu.rs","(024)558336","http://www.medicinskasu.edu.rs","8027323","100446974","1958-07-15","Средње стручне школе","Државно","24","0","0","656","554","0","0","0","111","57.582700","127","74.582700"
"6.","1327","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Политехничка школа","Максима Горког 38","24000","office@politehnickasu.edu.rs","(024)663100","http://www.politehnickasu.edu.rs","8122245","100959340","2002-06-12","Средње стручне школе","Државно","34","0","0","679","322","4","15","0","93","78.710000","112","101.210000"
"7.","1328","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Хемијско-технолошка школа","Максима Горког 53","24000","hemijska@tippnet.rs","(024)644103","http://www.hts.edu.rs","8122237","100960681","2002-02-15","Средње стручне школе","Државно","34","0","0","613","404","2","24","0","96","75.541400","120","101.931400"
"8.","1329","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Техничка школа Иван Сарић","Трг Лазара Нешића 9","24000","messc@tehnickaskolasubotica.edu.rs","(024)552031","http://www.tsis.edu.rs","08009180","100959964","1961-09-28","Средње стручне школе","Државно","53","0","0","1297","200","2","4","0","133","124.766700","168","163.266700"
"9.","1332","Зрењанин","Севернобанатски управни округ","Ада","Ада","Техничка школа","Моше Пијаде 47","24430","iskolada@mts.rs","(024)853034","http://tsada.edu.rs","8018499","100983199","1962-05-05","Средње стручне школе","Државно","20","0","0","383","29","0","4","0","48","43.762900","62","58.762900"
"10.","1333","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Гимназија Душан Васиљев","Доктора Зорана Ђинђића 7","23300","gimnazijaki@mts.rs","(0230)422557","http://gimnazijaki.rs","8174776","100510025","1989-05-01","Гимназије","Државно","13","0","0","310","194","1","0","0","47","32.180700","60","45.180700"
